Base,Day,FOV,mask_label,redox_ratio_norm_mean,redox_ratio_norm_stdev,nadh_intensity_mean,nadh_intensity_stdev,nadh_a1_mean,nadh_a1_stdev,nadh_a1_intensity_weighted_mean,nadh_a1_intensity_weighted_stdev,nadh_a2_mean,nadh_a2_stdev,nadh_a2_intensity_weighted_mean,nadh_a2_intensity_weighted_stdev,nadh_t1_mean,nadh_t1_stdev,nadh_t1_intensity_weighted_mean,nadh_t1_intensity_weighted_stdev,nadh_t2_mean,nadh_t2_stdev,nadh_t2_intensity_weighted_mean,nadh_t2_intensity_weighted_stdev,nadh_tau_mean_mean,nadh_tau_mean_stdev,nadh_tau_mean_intensity_weighted_mean,nadh_tau_mean_intensity_weighted_stdev,fad_intensity_mean,fad_intensity_stdev,fad_a1_mean,fad_a1_stdev,fad_a1_intensity_weighted_mean,fad_a1_intensity_weighted_stdev,fad_a2_mean,fad_a2_stdev,fad_a2_intensity_weighted_mean,fad_a2_intensity_weighted_stdev,fad_t1_mean,fad_t1_stdev,fad_t1_intensity_weighted_mean,fad_t1_intensity_weighted_stdev,fad_t2_mean,fad_t2_stdev,fad_t2_intensity_weighted_mean,fad_t2_intensity_weighted_stdev,fad_tau_mean_mean,fad_tau_mean_stdev,fad_tau_mean_intensity_weighted_mean,fad_tau_mean_intensity_weighted_stdev,redox_ratio_mean,redox_ratio_stdev,,,flirr_mean,flirr_stdev
UCSD102,40,10,16,0.643895862,0.116455715,746.9762972,501.1939135,78.85185432,2.604059671,78.5883853,2.284637926,21.14814566,2.604059758,21.41161469,2.284637949,302.3006874,58.74287056,328.7287209,58.42171493,2046.235247,209.8051717,2123.963622,205.4392621,669.8063378,92.6020099,711.3976603,81.68593204,332.5438821,80.65908535,79.99842902,2.399809907,79.92473243,2.394971945,20.00157098,2.399809907,20.07526757,2.394971945,207.9280019,37.31615005,207.7619059,36.9791836,1603.801909,144.6449867,1609.779055,144.1637896,485.3050111,48.64257005,487.444172,48.59924592,2.146428272,1.103290391,,,0.264671811,0.034131701
UCSD102,40,10,17,0.606965345,0.117081824,644.9473684,418.5143299,78.69614691,2.947329795,78.04991336,2.572703415,21.30385309,2.947329795,21.95008664,2.572703415,305.3620341,55.48020824,326.2198213,54.25799807,2038.254577,196.2821072,2090.098887,188.0034929,673.4938812,94.62194047,712.5138174,89.42338373,341.0755149,65.77025591,80.71248799,2.272891111,80.56101524,2.314327928,19.28751201,2.272891111,19.43898476,2.314327928,199.8736842,35.94838172,200.9400432,35.25794598,1649.884565,158.1946713,1660.683796,159.264949,478.4971283,58.33528427,483.8103182,60.00065177,1.800056418,0.899598865,,,0.26452984,0.039639387
UCSD102,40,10,19,0.659812061,0.11285507,883.5476923,468.5302125,78.31382631,2.665216078,78.43340482,2.345810985,21.68617365,2.665216283,21.56659517,2.345811054,331.0926655,56.3610591,347.7512634,47.45854706,2056.621946,187.4415722,2105.445309,170.4175469,703.2683469,78.70606073,724.8038282,61.71730325,381.5269231,104.5618847,80.18857885,2.607358363,80.06123024,2.637858546,19.81142106,2.607358838,19.93876973,2.637858733,195.085612,40.553189,196.4131865,40.25632166,1694.453946,155.1696388,1709.014145,156.0350168,491.6367943,74.71801697,497.6747824,76.31321371,2.260614151,1.017739567,,,0.270941335,0.035258305
UCSD102,40,10,20,0.64536384,0.113055372,797.0294566,457.1404052,77.72537562,3.02291243,77.2712647,2.692857355,22.27462439,3.022912366,22.7287353,2.692857338,318.4021356,56.82131387,338.2194597,51.59809376,2076.032641,195.2486876,2136.885408,179.6767032,709.6485158,101.8819433,746.215457,86.17214497,363.1853733,98.62683244,80.01202443,2.224706149,79.87737802,2.226510269,19.98797557,2.224706149,20.12262198,2.226510269,201.1784797,36.44623769,202.0781524,36.17379335,1663.879898,159.5490438,1674.820177,159.4247422,492.4202162,58.03022035,497.3841458,58.58363878,2.110746868,0.956644108,,,0.278876674,0.040313932
UCSD102,40,10,21,0.626645966,0.143404029,807.5879397,625.7344838,79.56190879,2.96359302,78.61714054,2.533269364,20.43809121,2.96359302,21.38285946,2.533269364,316.8467236,60.73320782,350.08383,56.8795407,2030.967814,187.4264537,2096.840082,160.6058118,665.9276203,98.22631096,722.3980499,84.12648753,343.8819095,77.02716759,80.02150729,2.136798828,79.83420321,2.159031426,19.97849271,2.136798828,20.16579679,2.159031426,202.2685879,33.96616529,203.5350671,32.99545067,1650.106784,177.5827767,1672.623115,184.1507437,490.723808,58.13747708,499.1847835,60.91332335,2.143613372,1.269575675,,,0.255804487,0.038914709
UCSD102,40,10,24,0.701139333,0.11987941,1191.354212,685.106553,80.97673321,3.037405733,81.96988639,2.902806317,19.02326679,3.037405733,18.03011361,2.902806317,334.6793018,53.48285597,356.1119526,43.07580993,2031.992603,179.7764827,2091.997624,157.3706651,655.3564901,58.74588226,666.8831281,40.8590596,401.1884449,99.1517785,79.65317802,2.078635402,79.5784071,2.070223371,20.34682198,2.078635402,20.4215929,2.070223371,197.3398384,36.7235887,197.6335209,36.32959038,1672.944217,142.2302742,1681.364722,140.3462558,496.3869256,54.45665797,499.4502223,53.96939533,2.878039942,1.428063766,,,0.238985846,0.03862717
UCSD102,40,10,25,0.663879247,0.127254175,796.6928721,484.2465944,77.27105755,3.118373617,76.64123063,2.625402967,22.72894245,3.118373617,23.35876937,2.625402967,308.7853229,61.55690839,333.9336614,57.1770557,2049.682065,212.522014,2125.280628,195.5524834,703.5132747,102.9220311,750.7884193,83.23655374,315.8018868,63.26003336,79.99650807,2.249106502,79.89650747,2.235203985,20.00349193,2.249106502,20.10349253,2.235203985,198.4999948,34.46999095,199.0985191,34.34589355,1612.312966,150.2795311,1621.630275,150.192841,480.0857565,52.00626483,483.9361159,52.69788133,2.436641244,1.297345317,,,0.284421669,0.040131729
UCSD102,40,10,26,0.587188835,0.121503163,546.0715198,367.6273413,78.88850409,3.542838612,78.06156708,3.125320252,21.11149591,3.542838612,21.93843292,3.125320252,293.7556845,59.60839281,318.758244,58.58819125,2001.604853,208.5527614,2066.094143,201.0829212,652.8013484,104.1290168,700.9497979,98.18658738,310.0791826,53.81645514,80.88981584,2.325155552,80.77093457,2.331561357,19.11018416,2.325155552,19.22906543,2.331561357,193.4645388,36.04780784,194.269689,35.87846171,1593.17447,161.6408513,1602.626397,163.8711439,459.5801021,56.52987456,463.8236523,57.96613038,1.675678341,0.899478513,,,0.261608028,0.046808839
UCSD102,40,10,27,0.65817335,0.126522419,1098.815415,715.7381776,79.98117753,3.797073817,81.31058692,3.702407465,20.01882245,3.797073869,18.68941308,3.702407471,311.6963905,63.5447818,340.8973564,57.50349413,2021.755777,180.5461525,2087.848298,163.7825144,652.6565923,76.63008482,665.1577177,54.57098333,480.1891192,321.5054863,79.25486036,2.212152898,79.28651982,2.223344977,20.74513964,2.212152898,20.71348018,2.223344977,201.4616561,34.65752428,201.303823,32.837029,1694.574508,150.0701989,1713.006754,152.7673706,510.3516419,54.36468902,514.0291612,56.96946435,2.34808694,1.234211407,,,0.252560685,0.047228201
UCSD102,40,10,30,0.654671906,0.122693127,916.3419762,578.7555283,79.05791359,2.942676491,79.01267958,2.592405655,20.94208641,2.942676491,20.98732042,2.592405655,323.9315235,57.87744698,346.613069,50.55726554,2076.562193,188.0656306,2135.779816,172.8418319,689.7707555,87.55143796,720.5180094,68.78633731,380.3896286,99.87096569,80.04759033,2.273551638,79.86040137,2.290613085,19.95240967,2.273551638,20.13959863,2.290613085,197.9702957,36.17069182,198.228671,34.99727582,1688.319313,154.2926147,1701.498306,151.9046431,494.6915366,59.43839353,500.4761547,59.31952994,2.267360973,1.101682633,,,0.262058091,0.038914014
