Cell line,Day,Stiffness,FOV,mask_label,redox_ratio_norm_mean,nadh_intensity_mean,nadh_intensity_stdev,nadh_a1_mean,nadh_a1_stdev,nadh_a1_intensity_weighted_mean,nadh_a1_intensity_weighted_stdev,nadh_a2_mean,nadh_a2_stdev,nadh_a2_intensity_weighted_mean,nadh_a2_intensity_weighted_stdev,nadh_t1_mean,nadh_t1_stdev,nadh_t1_intensity_weighted_mean,nadh_t1_intensity_weighted_stdev,nadh_t2_mean,nadh_t2_stdev,nadh_t2_intensity_weighted_mean,nadh_t2_intensity_weighted_stdev,nadh_tau_mean_mean,nadh_tau_mean_stdev,nadh_tau_mean_intensity_weighted_mean,nadh_tau_mean_intensity_weighted_stdev,fad_intensity_mean,fad_intensity_stdev,fad_a1_mean,fad_a1_stdev,fad_a1_intensity_weighted_mean,fad_a1_intensity_weighted_stdev,fad_a2_mean,fad_a2_stdev,fad_a2_intensity_weighted_mean,fad_a2_intensity_weighted_stdev,fad_t1_mean,fad_t1_stdev,fad_t1_intensity_weighted_mean,fad_t1_intensity_weighted_stdev,fad_t2_mean,fad_t2_stdev,fad_t2_intensity_weighted_mean,fad_t2_intensity_weighted_stdev,fad_tau_mean_mean,fad_tau_mean_stdev,fad_tau_mean_intensity_weighted_mean,fad_tau_mean_intensity_weighted_stdev,redox_ratio_mean,redox_ratio_stdev,,redox_ratio_norm_stdev,flirr_mean,flirr_stdev
H9,40,DENSITY-1,7,21,0.455037683,686.1467991,519.0890151,68.44011512,7.382194944,67.09329235,7.108431552,31.55988488,7.382194944,32.90670765,7.108431552,327.498869,90.3005515,352.5559102,81.79165833,2330.955519,353.6810255,2399.011402,334.8720268,970.9831267,250.7359471,1039.205628,243.8360774,644.1986755,144.1665253,78.94964558,2.772827403,78.866534,2.723417159,21.05035442,2.772827403,21.133466,2.723417159,194.2430508,33.39929995,196.0108137,33.74364965,1905.635751,135.2795709,1913.5145,136.9394955,553.1195128,69.77880081,557.7226101,70.20599302,1.005553589,0.62483805,,0.157039925,0.40143222,0.0996164
H9,40,DENSITY-1,7,22,0.529363699,1069.341098,682.138854,65.66418686,9.560854988,68.2485347,8.841987749,34.33581314,9.560854988,31.7514653,8.841987749,379.8678018,142.5266293,394.9437056,116.3016117,2505.077271,353.6624231,2490.013686,310.2643871,1119.887316,325.5096294,1071.499911,295.328305,831.9767055,425.3500656,78.82249967,2.005968144,78.61674632,1.885754583,21.17750033,2.005968144,21.38325368,1.885754583,195.1739251,29.84203312,200.8146309,28.60256253,1964.440532,130.3213541,1979.917035,125.8171153,569.0868899,60.37853401,580.6137594,57.69082961,1.273008123,0.581161825,,0.125052899,0.435069785,0.118201494
H9,40,DENSITY-1,7,23,0.478647855,847.5183486,637.5873782,73.78414587,6.817033888,74.05669417,6.377193823,26.21585414,6.817033861,25.94330583,6.377193815,360.6025138,74.65845662,383.3840295,60.12327952,2322.009622,354.2113032,2390.813836,273.9708258,880.8206578,210.9208574,911.3534717,192.6131098,694.771789,152.0063886,79.89212775,2.459635673,79.67700183,2.551702871,20.10787217,2.459636038,20.32299807,2.55170329,180.0952649,29.40290244,182.2496477,29.69701319,1903.067236,140.3318093,1915.495083,139.9318965,525.9809418,69.03359954,534.0801282,71.99719013,1.124797262,0.694621366,,0.162094917,0.328726114,0.086464178
H9,40,DENSITY-1,7,24,0.546494412,1335.310256,937.6393291,73.64992179,3.798543441,74.47582631,3.07559898,26.35007821,3.798543441,25.52417369,3.07559898,415.6041436,76.86344351,435.4812834,51.16378741,2320.423692,230.8347349,2381.831255,180.2299742,915.0322622,100.9056476,930.4265494,71.96678082,851.9153846,388.7989666,78.1902241,2.885398353,78.20079501,2.837273008,21.8097759,2.885398353,21.79920499,2.837273008,203.1715308,32.52074728,202.2572106,28.73710338,2006.168872,168.2237953,2016.143358,159.7805154,597.8856719,89.85466988,599.2088072,86.03601865,1.462424157,0.751753158,,0.164293663,0.337255306,0.048914505
H9,40,DENSITY-1,7,25,0.459511558,726.1826484,630.9130431,73.82048128,5.075725704,73.54673323,3.606009321,26.17951868,5.075725853,26.45326677,3.606009342,353.275774,97.22418194,386.8128298,68.08149634,2164.320457,331.0916742,2210.644698,218.5233634,821.3799493,129.9140593,867.0285346,86.58918803,581.7899543,233.7095076,78.43089155,2.691449779,77.96814968,2.761826126,21.56910845,2.691449779,22.03185032,2.761826126,188.4356632,34.5201646,192.0036556,34.44009897,2043.560297,162.7359618,2067.336577,157.0747299,588.8073155,87.43906598,605.7514334,90.70457763,1.094278999,0.736925106,,0.186593998,0.334363963,0.065712754
H9,40,DENSITY-1,8,2,0.531605745,932.0290698,635.4637667,68.76928227,7.75516284,70.19156848,7.042829544,31.23071773,7.75516284,29.80843152,7.042829544,371.4691027,110.6875015,384.8223796,84.97898574,2351.778847,318.4922938,2400.034421,265.5689484,992.2103073,221.2725036,988.4669246,195.2615764,748.5242248,496.436479,79.26911647,3.233712325,80.08241261,3.302274307,20.73088353,3.233712325,19.91758739,3.302274307,193.1920707,40.86056553,188.4601124,35.82200295,1926.053411,159.4667212,1910.886258,148.3702019,551.9001668,87.48743768,531.8210533,86.645752,1.367913483,0.753451113,,0.154069427,0.3966273,0.107332764
H9,40,DENSITY-1,8,3,0.56631263,1643.690078,933.8032098,70.30339197,7.205820249,72.79307273,4.776632477,29.69660803,7.205820249,27.20692727,4.776632477,447.3526812,118.5566261,442.7648965,67.9545057,2470.146466,292.1701456,2468.31467,190.6414243,1043.06976,181.5851869,991.8329399,114.9021124,1071.12932,503.8448371,79.10743423,2.623512763,79.22857206,2.546491806,20.89256577,2.623512763,20.77142794,2.546491806,203.1540624,29.46030071,205.3118875,25.0968279,2021.182954,171.510895,2018.25859,172.9603948,583.9614127,82.65647463,583.3958982,80.87534471,1.485677814,0.628912024,,0.131281628,0.376293919,0.094761162
H9,40,DENSITY-1,8,4,0.558240178,955.9238227,698.514144,68.18756288,8.35612554,70.54507767,7.302757356,31.81243712,8.35612554,29.45492233,7.302757356,431.047036,158.4060812,405.5285987,115.8045158,2387.649114,339.663663,2368.642932,268.0308007,1048.033351,200.3378741,982.33052,195.4379301,684.6495845,524.4976945,77.8944392,2.929963254,78.46233352,2.968188133,22.1055608,2.929963254,21.53766648,2.968188133,210.2235665,38.20537624,213.2506039,33.65764228,1967.844889,178.6164269,1942.366989,181.0708005,597.2281177,72.1754793,586.022554,76.25294802,1.42229649,0.648133942,,0.113228177,0.410030503,0.112596034
H9,40,DENSITY-1,8,5,0.353749088,370.8585915,476.9642237,73.73032963,6.600293368,73.30332378,6.014503022,26.26967039,6.600293296,26.69667622,6.014503012,356.4821736,177.3693202,383.5462482,150.5404409,2324.850527,475.3982303,2341.429795,368.5464292,867.3727456,240.6173431,903.2122403,205.9168175,488.4174648,277.7052928,80.82425392,2.406957199,80.44453562,2.404626345,19.17574608,2.406957199,19.55546438,2.404626345,169.4713497,37.50501646,176.5766693,38.44712568,1935.138203,181.8378093,1942.78343,170.4017054,506.262728,71.9542379,520.4239856,73.53486879,0.650716194,0.46819692,,0.148872054,0.325761864,0.083983654
H9,40,DENSITY-1,8,6,0.544306816,683.2533973,492.3692932,73.75177954,5.571436323,74.35837005,4.945658862,26.24822042,5.571436444,25.64162995,4.945658892,377.7525456,113.4569771,382.5839318,75.00573854,2323.713022,523.2568959,2328.657561,358.0510473,886.0740371,181.2968376,881.5011753,143.6694684,442.6235012,127.6180279,78.93304293,2.425575065,78.8190038,2.408371582,21.06695707,2.425575065,21.1809962,2.408371582,195.3697778,39.89163681,196.3381018,39.50921587,1855.992966,180.7415811,1859.829147,178.4432311,543.5274647,71.08333401,547.0487668,70.70346478,1.455300111,0.8210282,,0.155698997,0.333181384,0.072754543
H9,40,DENSITY-1,8,7,0.370833211,349.7980296,411.0412829,74.80994078,5.561106754,75.06202771,4.839850317,25.19005918,5.561106887,24.93797228,4.839850345,352.7408556,124.2921444,376.8021378,92.26825355,2323.989978,468.9822997,2323.438302,347.5292577,839.1777034,163.1144113,856.6364444,124.6537222,445.5977011,153.3628431,81.3721688,2.174950374,81.0799612,2.250463457,18.62783119,2.174950416,18.92003879,2.250463508,162.3982853,34.32946647,165.3554005,34.36719124,1922.141861,172.1573947,1926.250757,170.3031699,488.8055892,67.16171815,497.2000998,69.097065,0.712744138,0.56662504,,0.147688057,0.309906684,0.069287171
H9,40,DENSITY-1,8,8,0.45783189,516.007622,491.0316029,70.33899421,7.90495288,68.96791874,6.691864794,29.66100579,7.90495288,31.03208126,6.691864794,394.0531268,144.471204,398.7303064,111.4761137,2436.548354,435.1801287,2488.594254,349.6594048,999.4397233,232.515914,1048.192953,200.4603404,471.2393293,288.7846258,79.78929573,3.36389687,79.21568499,3.543222652,20.21070427,3.36389687,20.78431501,3.543222652,187.4874762,56.01459431,195.5920656,54.18571827,2003.701616,212.3048838,1997.282826,197.9620133,554.1540953,116.7219685,569.5421367,115.5029937,1.019476261,0.66334164,,0.150463186,0.374340463,0.1075333
H9,40,DENSITY-1,8,9,0.526605616,740.3582176,517.984171,71.96355949,6.741802659,72.272032,6.597914151,28.0364405,6.741802692,27.72796799,6.597914159,367.883199,90.78403821,372.7926642,66.90820404,2448.382743,381.7026533,2465.277192,308.3785077,957.7260375,216.0254847,961.6509002,201.559451,537.6655093,255.2101629,80.10300093,2.238090358,79.9060193,2.231630834,19.89699907,2.238090358,20.0939807,2.231630834,182.1540065,35.42831931,185.7448128,35.63566004,1929.064693,157.0371263,1931.082318,151.4048048,528.4623638,65.49438305,535.2839263,65.10315193,1.330069463,0.736816371,,0.148777621,0.350484546,0.085721325
H9,40,DENSITY-1,8,11,0.596404626,1375.905629,902.8322309,75.08199808,5.937710877,76.92988518,4.784389982,24.91800189,5.937710954,23.07011481,4.784390008,393.4124234,86.38039355,405.7367359,53.50808463,2376.43493,283.7921691,2402.925199,205.3642804,885.4593607,151.5091118,866.4776978,116.6129915,775.7072848,441.264057,79.33092692,2.716067535,79.18010646,2.659510418,20.66907308,2.716067535,20.81989354,2.659510418,190.3355124,34.91487422,196.3566607,30.70781764,1976.887556,140.9017236,1971.814589,132.6837545,558.7519611,74.72602843,565.7864938,70.87438449,1.712112889,0.773337652,,0.130406753,0.314551108,0.075866973
H9,40,DENSITY-1,8,13,0.501061971,613.1276287,511.3291412,71.31005185,6.786607416,72.18832828,6.305666231,28.68994815,6.786607416,27.81167172,6.305666231,367.6904445,91.16861039,364.9159767,78.41337616,2388.094046,370.811455,2356.445895,298.6820998,946.2704672,180.2732991,920.0850305,169.3854077,533.8049311,387.0256286,81.34475816,2.406317883,81.53703023,2.360972913,18.65524184,2.406317883,18.46296977,2.360972913,172.6332523,34.58423963,178.4435069,34.74070696,1943.124322,164.0139257,1917.791435,164.4308223,501.7468749,67.81796188,498.7564467,64.09155513,1.123653943,0.542464702,,0.115228629,0.353898691,0.088036534
H9,40,DENSITY-1,8,14,0.483479105,634.2603687,595.9673739,73.04939919,6.001349187,71.90159314,6.151473746,26.95060079,6.001349221,28.09840686,6.151473751,371.7935254,89.67615993,391.5118817,67.92177291,2368.486887,378.1894769,2460.979645,292.7565359,909.9370476,188.8389756,978.5428101,190.7818403,472.0443548,196.0509456,78.80154499,3.183656063,78.29649999,3.40464348,21.19845501,3.183656063,21.70350001,3.40464348,190.8371707,42.33870516,195.3158294,41.87859429,1893.605415,175.659211,1911.415354,173.0886666,551.1178404,92.29492817,567.501081,97.76075335,1.19821656,0.837274494,,0.17100957,0.344233078,0.086847158
H9,40,DENSITY-1,8,16,0.481523911,644.7597222,592.0958061,71.69877556,7.42206772,71.7843316,7.063364322,28.30122444,7.42206772,28.2156684,7.063364322,365.1422542,123.3663557,371.2734274,83.17785739,2332.519806,397.9499362,2352.983107,302.4186967,923.642349,218.8189775,935.5363922,198.536833,513.2590278,250.0786465,80.84950813,2.608001701,80.4690431,2.589740457,19.15049188,2.608001701,19.5309569,2.589740457,165.2780538,39.48300539,173.0582262,40.44401101,1960.901396,164.1718203,1951.984478,163.579424,507.4185711,76.23822128,518.9032115,76.19781162,1.207029824,0.890867585,,0.174538804,0.350882436,0.094202473
H9,40,DENSITY-1,8,18,0.567565371,934.5069797,669.734431,73.79601313,5.629209289,75.14422258,4.547344047,26.20398687,5.629209289,24.85577742,4.547344047,404.362172,108.5814735,401.994899,73.48122722,2268.471713,312.1342342,2271.650262,216.0174082,889.5945657,157.5890877,864.5832246,113.8189367,583.6173858,295.1110415,79.63664346,2.220855083,79.60361212,2.077142967,20.36335654,2.220855083,20.39638788,2.077142967,186.1302996,35.29501234,191.3527925,35.62257184,1948.046726,156.3233452,1956.710015,152.6591144,543.8131037,67.29448794,550.5511437,64.24367973,1.530239944,0.776841151,,0.126341771,0.32970487,0.073721991
H9,40,DENSITY-1,8,19,0.493679274,732.3145957,517.3693955,77.19440148,3.768077375,77.80625887,3.392287941,22.80559852,3.768077375,22.19374113,3.392287941,358.755857,53.16761754,364.5462965,43.63404416,2225.474339,228.7805227,2248.223313,189.7453322,781.5031441,78.00680155,780.5478486,66.57470928,633.9556213,282.4470853,81.23942949,2.015502448,80.83683845,2.038744423,18.76057051,2.015502448,19.16316155,2.038744423,168.1078575,31.2146685,173.5122896,31.41856844,1962.102268,146.8007109,1972.73131,147.7556775,503.8716384,64.15626716,517.8324641,67.39165117,1.140830712,0.650332593,,0.1358779,0.280992209,0.047669422
H9,40,DENSITY-1,8,20,0.565302427,1219.433213,768.4119608,73.93152173,5.986329423,75.04941632,4.607734606,26.06847827,5.986329423,24.95058368,4.607734606,386.4112794,78.28220945,394.585318,55.32271707,2381.550534,258.3204674,2429.551099,209.9623513,904.3448411,140.3229891,901.4467154,111.2248758,795.5039711,409.3718109,78.88587762,2.391353156,79.01000239,2.432228715,21.11412238,2.391353156,20.98999761,2.432228715,203.8634072,30.27471847,206.6283444,27.39016847,1921.38717,154.0230861,1912.538895,159.8336444,566.0164895,65.27168376,564.8451425,65.76901506,1.478825169,0.651431046,,0.123814535,0.331404194,0.079785276
H9,40,DENSITY-1,8,21,0.560494505,1008.340252,642.5260419,68.80740371,6.7712318,70.31948599,5.917765464,31.19259629,6.7712318,29.68051401,5.917765464,409.6477643,103.3821148,417.3217613,76.13642144,2388.631868,273.3205043,2401.406506,223.0537556,1023.526933,160.8492973,1004.440019,134.9897421,692.9977761,379.3190467,78.55061727,2.751652405,78.98036551,2.896913515,21.44938273,2.751652405,21.01963449,2.896913515,199.3487658,34.31044263,199.8681334,30.81567147,1961.206583,163.3525602,1954.927855,159.605037,576.9201956,74.07556251,569.3706002,76.416814,1.487986496,0.782066721,,0.128196828,0.398075219,0.089813937
H9,40,DENSITY-1,8,22,0.364827135,319.5502959,319.2677215,72.53168725,8.020892413,70.30622687,7.666269746,27.46831275,8.020892428,29.69377313,7.66626974,352.9723394,166.4787184,352.6823355,129.85726,2478.325023,568.915115,2444.528889,474.6457757,934.9367111,267.4822045,980.4137311,263.2270189,435.0874425,205.9993607,82.55377061,2.074678882,82.26607799,2.225285525,17.44622939,2.074678882,17.73392201,2.225285525,147.3295745,33.76194828,151.7939046,35.16611237,1971.681026,164.8884469,1967.666236,160.8134607,464.4485569,66.31583493,472.7424131,70.42907844,0.682308781,0.477875888,,0.14993606,0.333343733,0.098999355
H9,40,DENSITY-1,8,23,0.585615979,1220.942224,719.7614593,71.76042046,5.868381502,72.6391842,5.176287531,28.23957953,5.868381554,27.36081579,5.176287576,402.1008483,75.01822365,415.8408456,57.84230735,2374.312741,245.050442,2403.60709,204.8701767,957.3643849,143.8808196,959.2274277,120.2421866,740.2824992,342.123688,79.31721538,2.667807817,79.07516106,2.524013908,20.68278462,2.667807817,20.92483894,2.524013908,183.3143967,35.36472998,189.2604551,34.27352688,1990.19866,150.8044992,1991.233319,147.9599077,556.4586649,79.05242763,565.9520074,75.02595195,1.63127309,0.768670538,,0.123735153,0.356944095,0.077143083
